youtube_id,anexos,tags,autor
gFZCwC40-Zc,,instrumentos,
W9EPXfH4AxQ,,instrumentos,
AxD70ztJwZk,,instrumentos; iniciação,
5sKInIrVxiM,,simbolismo; instrumentos,
WKwOyus8Nd8,,instrumentos,
78lkB-H2eno,,instrumentos,
KvR_dDnft2Q,,grau de mestre; instrumentos,Márcio Latorraca
imJU7qBYSc8,,instrumentos,
C9LlD7BAcEU,,estudo maçônico,Marcos A. P. Noronha
9xBj6dOnpr0,,iniciação,Rodrigo Rosenthal
ESctJa46wqk,,simbolismo; instrumentos,Oduwaldo Álvaro
pwcoe7HtuBw,,estudo maçônico,Márcio Silva
UqGPlrh64p4,,instrumentos,
sDeQbpR0ul8,,estudo maçônico,Fuad Haddad
HbuiJDJUVlA,,estudo maçônico,José Maldonado
