id,tipo,titulo,descricao,autor,data,duracao,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-bMSuIPj62S4,video,O Simbolismo do Graal,,Oduwaldo Alvaro e Valdir Anderson Silvério,2025-08-10,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=bMSuIPj62S4,bMSuIPj62S4,https://img.youtube.com/vi/bMSuIPj62S4/hqdefault.jpg,pendente,,,,,
video-UKXYkzEk5rk,video,A MARCHA DO APRENDIZ NO RITO ADONHIRAMITA,,SÉRGIO EMILIÃO,2025-08-17,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=UKXYkzEk5rk,UKXYkzEk5rk,https://img.youtube.com/vi/UKXYkzEk5rk/hqdefault.jpg,pendente,,,,,
video-guWmFb1ypaQ,video,Demócrito,,Cláudio Melo,2025-08-24,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=guWmFb1ypaQ,guWmFb1ypaQ,https://img.youtube.com/vi/guWmFb1ypaQ/hqdefault.jpg,pendente,,,,,
video-JZmLKhM6D7k,video,"Estrutura administrativa maçônica, ritos e rituais",,Domingos Léo Monteiro,2025-08-31,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=JZmLKhM6D7k,JZmLKhM6D7k,https://img.youtube.com/vi/JZmLKhM6D7k/hqdefault.jpg,pendente,,,,,
video-ivwoJ3Jp5Lk,video,VERÁS QUE UM FILHO TEU NÃO FOGE À LUTA,,FUAD HADDAD,2025-09-07,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=ivwoJ3Jp5Lk,ivwoJ3Jp5Lk,https://img.youtube.com/vi/ivwoJ3Jp5Lk/hqdefault.jpg,pendente,,,,,
video--_Jj_1Vr9lc,video,João e o Grau de Aprendiz,,Denizart Silveira de Oliveira Filho,2025-09-14,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=-_Jj_1Vr9lc,-_Jj_1Vr9lc,https://img.youtube.com/vi/-_Jj_1Vr9lc/hqdefault.jpg,pendente,,,,,
video-5fJheJU3Et4,video,Descartes - Vida e Obra,,Sérgio Viana Villa,2025-09-21,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=5fJheJU3Et4,5fJheJU3Et4,https://img.youtube.com/vi/5fJheJU3Et4/hqdefault.jpg,pendente,,,,,
video-EEaBlatJCSk,video,Moisés,,Antonio Aldrighi Ceron Filho,2025-09-28,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=EEaBlatJCSk,EEaBlatJCSk,https://img.youtube.com/vi/EEaBlatJCSk/hqdefault.jpg,pendente,,,,,
video-USMbRq_Ht8w,video,Moral: aprendizado maçônico com base na dissertação de David Hume,,Domingos Léo Monteiro,2025-10-05,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=USMbRq_Ht8w,USMbRq_Ht8w,https://img.youtube.com/vi/USMbRq_Ht8w/hqdefault.jpg,pendente,,,,,
video-P_3IED6fGiE,video,Peregrinação como caminho para o autoconhecimento,,Roberto Zardo,2025-10-12,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=P_3IED6fGiE,P_3IED6fGiE,https://img.youtube.com/vi/P_3IED6fGiE/hqdefault.jpg,pendente,,,,,
video-GDqXhR-SXFE,video,Influência Templária nos Altos Graus do REAA,,Valdir Anderson Silvério,2025-10-19,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=GDqXhR-SXFE,GDqXhR-SXFE,https://img.youtube.com/vi/GDqXhR-SXFE/hqdefault.jpg,pendente,,,,,
video-jnLmp-38t7g,video,Leonardo da Vinci,,Roberto Zardo,2025-10-26,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=jnLmp-38t7g,jnLmp-38t7g,https://img.youtube.com/vi/jnLmp-38t7g/hqdefault.jpg,pendente,,,,,
video-eHIjQyHXXmU,video,Testamento Vital: a autonomia na jornada final,,José Eduardo da Silva,2025-11-02,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=eHIjQyHXXmU,eHIjQyHXXmU,https://img.youtube.com/vi/eHIjQyHXXmU/hqdefault.jpg,pendente,,,,,
video-yT8stY2HK4A,video,A República e a Maçonaria,,Celso José Mello,2025-11-09,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=yT8stY2HK4A,yT8stY2HK4A,https://img.youtube.com/vi/yT8stY2HK4A/hqdefault.jpg,pendente,,,,,
video-OUQ9n4yuNLc,video,Ritos e Rituais no Brasil,,Oduwaldo Alvaro,2025-11-16,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=OUQ9n4yuNLc,OUQ9n4yuNLc,https://img.youtube.com/vi/OUQ9n4yuNLc/hqdefault.jpg,pendente,,,,,
video-rFzSyBX1y5k,video,"Maçonaria e Hollywood: Filme ""O Feitiço do Tempo""",,Valdir Anderson Silvério,2025-11-23,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=rFzSyBX1y5k,rFzSyBX1y5k,https://img.youtube.com/vi/rFzSyBX1y5k/hqdefault.jpg,pendente,,,,,
video-99OCob6RPDY,video,"SÃO FRANCISCO, O SANTO LOUCO DE ASSIS!",,Sérgio Viana Villa,2025-11-30,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=99OCob6RPDY,99OCob6RPDY,https://img.youtube.com/vi/99OCob6RPDY/hqdefault.jpg,pendente,,,,,
video-lwVRfeN2Bbs,video,https://youtu.be/lwVRfeN2Bbs O BUDISMO DE NICHIREN DAISHONIN,,Eduardo Kairalla Filho,2025-12-07,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=lwVRfeN2Bbs,lwVRfeN2Bbs,https://img.youtube.com/vi/lwVRfeN2Bbs/hqdefault.jpg,pendente,,,,,
video-ae7Ph2iywV0,video,OS NÚMEROS NA MAÇONARIA: da unidade ao infinito,,Domingos Léo Monteiro,2025-12-14,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=ae7Ph2iywV0,ae7Ph2iywV0,https://img.youtube.com/vi/ae7Ph2iywV0/hqdefault.jpg,pendente,,,,,
video-RYPOr85hl6c,video,RUT e SHAVUOT,,Rogério Borges Pascoal,2025-12-21,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=RYPOr85hl6c,RYPOr85hl6c,https://img.youtube.com/vi/RYPOr85hl6c/hqdefault.jpg,pendente,,,,,
